Name,Market Cap,Price,Circulating Supply,Volume(24h),%24h
IOST,"$242,782,262.19",$0.01306,"18,588,745,668 IOST *","$6,266,371.27",0.64%
GLM,"$238,867,924.33",$0.2389,"1,000,000,000 GLM *","$2,253,171.32",0.32%
HIVE,"$237,688,281.59",$0.5445,"436,492,505 HIVE *","$3,291,093.95",0.42%
XYM,"$235,400,773.42",$0.04217,"5,582,460,005 XYM","$1,924,687.99",0.21%
BTRST,"$231,428,722.57",$1.93,"119,853,514 BTRST *","$1,728,937.69",0.93%
STORJ,"$227,607,593.94",$0.5539,"410,941,482 STORJ *","$14,963,859.04",0.44%
SRM,"$215,557,020.65",$0.8188,"263,244,669 SRM *","$17,041,134.71",0.09%
ONT,"$213,651,385.67",$0.2441,"875,249,524 ONT *","$14,390,177.81",0.45%
ZEN,"$209,307,611.06",$16.37,"12,786,394 ZEN","$11,478,970.13",0.84%
SC,"$208,394,227.21",$0.004021,"51,828,502,992 SC","$1,644,770.52",0.40%
WAXP,"$207,467,068.96",$0.0967,"2,145,471,544 WAXP *","$4,343,342.69",0.24%
ABBC,"$201,652,793.76",$0.1998,"1,009,264,478 ABBC *","$19,818,089.21",1.37%
IMX,"$198,518,229.23",$0.8437,"235,284,001 IMX *","$10,255,814.71",0.76%
UMA,"$190,625,264.61",$2.77,"68,814,811 UMA *","$10,987,394.99",0.43%
GLMR,"$191,831,962.91",$0.5286,"362,872,402 GLMR *","$7,492,571.05",1.31%
SXP,"$190,088,186.41",$0.3829,"496,447,689 SXP *","$12,754,326.33",0.54%
SKL,"$187,691,297.42",$0.05066,"3,704,977,671 SKL *","$6,868,937.73",0.69%
WOO,"$179,364,662.68",$0.1563,"1,147,498,590 WOO *","$9,213,127.92",1.40%
POLY,"$175,914,793.73",$0.1902,"924,998,413 POLY *","$1,909,945.33",0.41%
SLP,"$172,866,204.88",$0.003991,"43,312,386,260 SLP *","$11,800,785.52",0.31%
SCRT,"$171,534,214.35",$1.05,"163,295,557 SCRT *","$2,456,445.81",0.68%
DGB,"$167,144,507.53",$0.0107,"15,622,189,861 DGB","$4,657,190.24",0.53%
CSPR,"$165,385,247.57",$0.02769,"5,973,365,210 CSPR *","$2,809,991.44",0.31%
CHSB,"$165,144,295.26",$0.1651,"1,000,000,000 CHSB *","$222,759.27",0.54%
NFT,"$162,567,352.63",$0.00000059,"277,080,562,500,000 NFT *","$21,167,239.76",0.30%
DAO,"$161,500,455.33",$1.75,"92,077,195 DAO *","$5,032,628.25",2.44%
ELON,"$154,860,258.21",$0.00000028,"548,213,479,764,776 ELON *","$2,088,018.60",0.23%
PLA,"$151,379,452.46",$0.3575,"423,447,002 PLA *","$5,034,482.07",0.28%
SUSHI,"$146,902,632.00",$1.15,"127,244,443 SUSHI *","$23,994,721.10",1.26%
VGX,"$145,389,656.70",$0.5221,"278,482,214 VGX *","$11,396,819.11",18.85%
CVC,"$143,494,978.18",$0.1435,"1,000,000,000 CVC *","$4,071,057.11",0.78%
CEEK,"$137,714,074.13",$0.1709,"805,717,779 CEEK *","$19,341,849.32",0.27%
LSK,"$136,336,101.12",$1.06,"128,900,445 LSK *","$1,661,050.41",0.58%
EPS,"$135,473,837.59",$0.1872,"723,701,572 EPS *","$1,890,650.60",0.35%
KEEP,"$133,206,854.28",$0.1557,"855,798,667 KEEP *","$744,774.77",0.95%
SPELL,"$132,917,413.70",$0.001336,"99,472,230,599 SPELL *","$25,259,664.48",0.57%
PUNDIX,"$132,610,293.47",$0.513,"258,491,637 PUNDIX","$4,328,044.98",0.33%
RNDR,"$131,088,376.35",$0.5165,"253,798,860 RNDR *","$4,796,503.94",0.80%
MED,"$130,558,143.40",$0.02098,"6,222,777,786 MED *","$534,311.54",0.05%
TRIBE,"$129,400,068.78",$0.2854,"453,448,622 TRIBE *","$9,636,731.58",4.74%
BTCST,"$129,995,980.45",$10.65,"12,201,404 BTCST *","$10,240,760.27",0.16%
CKB,"$128,508,616.98",$0.003854,"33,340,068,750 CKB","$952,776.10",0.12%
CELR,"$126,546,229.73",$0.01786,"7,085,488,367 CELR *","$4,729,161.09",0.51%
REN,"$122,941,559.73",$0.1231,"999,037,500 REN *","$7,335,239.51",0.88%
EWT,"$121,473,675.03",$4.04,"30,062,138 EWT *","$1,048,416.44",0.54%
XNO,"$118,973,443.95",$0.8929,"133,248,297 XNO *","$2,322,243.77",0.55%
ONG,"$113,283,649.08",$0.3562,"318,051,858 ONG *","$4,478,905.30",0.46%
REQ,"$113,237,435.97",$0.1133,"999,830,316 REQ *","$10,547,137.47",2.12%
INJ,"$113,325,186.23",$1.60,"71,005,554 INJ *","$12,239,011.33",0.32%
NU,"$112,316,084.68",$0.1598,"703,000,000 NU *","$5,623,317.68",0.62%
CFX,"$109,802,457.83",$0.05252,"2,090,735,404 CFX","$2,741,675.29",0.78%
PEOPLE,"$109,018,528.20",$0.02154,"5,060,137,335 PEOPLE","$30,943,438.35",1.31%
ORBS,"$109,341,659.95",$0.03801,"2,876,767,039 ORBS *","$1,070,521.64",0.50%
UOS,"$108,191,420.05",$0.3561,"303,793,578 UOS *","$957,723.13",0.94%
WIN,"$106,304,319.54",$0.0001105,"961,737,300,000 WIN *","$72,444,712.55",0.58%
COTI,"$106,172,573.10",$0.09577,"1,108,643,952 COTI *","$4,814,501.25",0.80%
FX,"$105,949,654.79",$0.2593,"408,520,357 FX *","$1,843,815.60",0.40%
DYDX,"$104,170,079.39",$1.59,"65,569,295 DYDX *","$31,232,758.11",1.12%
ARDR,"$103,616,451.87",$0.1037,"998,999,495 ARDR *","$1,568,087.80",0.54%
NMR,"$102,241,552.25",$17.36,"5,888,504 NMR *","$4,410,084.03",0.48%
POWR,"$102,232,599.13",$0.2106,"485,339,140 POWR *","$2,339,206.33",0.37%
FXS,"$102,346,321.02",$6.31,"16,209,405 FXS *","$5,798,531.40",1.09%
XYO,"$101,853,617.51",$0.00793,"12,844,821,266 XYO *","$775,423.29",0.54%
CHR,"$101,387,238.24",$0.1787,"567,369,439 CHR *","$9,388,510.85",0.65%
OCEAN,"$100,683,046.74",$0.1642,"613,099,141 OCEAN *","$3,872,216.53",0.66%
SNT,"$99,822,678.84",$0.02876,"3,470,483,788 SNT *","$1,553,652.41",0.36%
SYS,"$98,576,587.31",$0.1496,"659,117,327 SYS","$4,962,726.14",2.48%
TEL,"$98,030,623.30",$0.001563,"62,728,700,558 TEL *","$794,363.33",0.31%
API3,"$97,605,335.20",$1.73,"56,547,601 API3 *","$6,707,011.41",1.09%
DENT,"$97,388,106.85",$0.0009836,"99,007,791,203 DENT *","$9,166,505.66",0.83%
PROM,"$96,960,629.16",$5.89,"16,450,000 PROM *","$3,198,113.05",0.50%
DAG,"$95,211,200.02",$0.07515,"1,266,911,931 DAG *","$436,536.95",0.67%
BNT,"$95,078,821.87",$0.4669,"203,626,640 BNT *","$3,473,915.19",0.31%
