Name,Market Cap,Price,Circulating Supply,Volume(24h),%24h
IOST,"$242,782,262.19",$0.01306,"18,588,745,668 IOST *","$6,266,371.27",0.64%
GLM,"$238,867,924.33",$0.2389,"1,000,000,000 GLM *","$2,253,171.32",0.32%
HIVE,"$237,688,281.59",$0.5445,"436,492,505 HIVE *","$3,291,093.95",0.42%
XYM,"$235,400,773.42",$0.04217,"5,582,460,005 XYM","$1,924,687.99",0.21%
BTRST,"$231,428,722.57",$1.93,"119,853,514 BTRST *","$1,728,937.69",0.93%
STORJ,"$227,607,593.94",$0.5539,"410,941,482 STORJ *","$14,963,859.04",0.44%
SRM,"$215,557,020.65",$0.8188,"263,244,669 SRM *","$17,041,134.71",0.09%
ONT,"$213,651,385.67",$0.2441,"875,249,524 ONT *","$14,390,177.81",0.45%
ZEN,"$209,307,611.06",$16.37,"12,786,394 ZEN","$11,478,970.13",0.84%
SC,"$208,394,227.21",$0.004021,"51,828,502,992 SC","$1,644,770.52",0.40%
WAXP,"$207,467,068.96",$0.0967,"2,145,471,544 WAXP *","$4,343,342.69",0.24%
ABBC,"$201,652,793.76",$0.1998,"1,009,264,478 ABBC *","$19,818,089.21",1.37%
IMX,"$198,518,229.23",$0.8437,"235,284,001 IMX *","$10,255,814.71",0.76%
UMA,"$190,625,264.61",$2.77,"68,814,811 UMA *","$10,987,394.99",0.43%
GLMR,"$191,831,962.91",$0.5286,"362,872,402 GLMR *","$7,492,571.05",1.31%
SXP,"$190,088,186.41",$0.3829,"496,447,689 SXP *","$12,754,326.33",0.54%
SKL,"$187,691,297.42",$0.05066,"3,704,977,671 SKL *","$6,868,937.73",0.69%
WOO,"$179,364,662.68",$0.1563,"1,147,498,590 WOO *","$9,213,127.92",1.40%
POLY,"$175,914,793.73",$0.1902,"924,998,413 POLY *","$1,909,945.33",0.41%
SLP,"$172,866,204.88",$0.003991,"43,312,386,260 SLP *","$11,800,785.52",0.31%
SCRT,"$171,534,214.35",$1.05,"163,295,557 SCRT *","$2,456,445.81",0.68%
DGB,"$167,144,507.53",$0.0107,"15,622,189,861 DGB","$4,657,190.24",0.53%
CSPR,"$165,385,247.57",$0.02769,"5,973,365,210 CSPR *","$2,809,991.44",0.31%
CHSB,"$165,144,295.26",$0.1651,"1,000,000,000 CHSB *","$222,759.27",0.54%
NFT,"$162,567,352.63",$0.00000059,"277,080,562,500,000 NFT *","$21,167,239.76",0.30%
DAO,"$161,500,455.33",$1.75,"92,077,195 DAO *","$5,032,628.25",2.44%
ELON,"$154,860,258.21",$0.00000028,"548,213,479,764,776 ELON *","$2,088,018.60",0.23%
PLA,"$151,379,452.46",$0.3575,"423,447,002 PLA *","$5,034,482.07",0.28%
SUSHI,"$146,902,632.00",$1.15,"127,244,443 SUSHI *","$23,994,721.10",1.26%
VGX,"$145,389,656.70",$0.5221,"278,482,214 VGX *","$11,396,819.11",18.85%
CVC,"$143,494,978.18",$0.1435,"1,000,000,000 CVC *","$4,071,057.11",0.78%
CEEK,"$137,714,074.13",$0.1709,"805,717,779 CEEK *","$19,341,849.32",0.27%
LSK,"$136,336,101.12",$1.06,"128,900,445 LSK *","$1,661,050.41",0.58%
EPS,"$135,473,837.59",$0.1872,"723,701,572 EPS *","$1,890,650.60",0.35%
KEEP,"$133,206,854.28",$0.1557,"855,798,667 KEEP *","$744,774.77",0.95%
SPELL,"$132,917,413.70",$0.001336,"99,472,230,599 SPELL *","$25,259,664.48",0.57%
PUNDIX,"$132,610,293.47",$0.513,"258,491,637 PUNDIX","$4,328,044.98",0.33%
RNDR,"$131,088,376.35",$0.5165,"253,798,860 RNDR *","$4,796,503.94",0.80%
MED,"$130,558,143.40",$0.02098,"6,222,777,786 MED *","$534,311.54",0.05%
TRIBE,"$129,400,068.78",$0.2854,"453,448,622 TRIBE *","$9,636,731.58",4.74%
BTCST,"$129,995,980.45",$10.65,"12,201,404 BTCST *","$10,240,760.27",0.16%
CKB,"$128,508,616.98",$0.003854,"33,340,068,750 CKB","$952,776.10",0.12%
CELR,"$126,546,229.73",$0.01786,"7,085,488,367 CELR *","$4,729,161.09",0.51%
REN,"$122,941,559.73",$0.1231,"999,037,500 REN *","$7,335,239.51",0.88%
EWT,"$121,473,675.03",$4.04,"30,062,138 EWT *","$1,048,416.44",0.54%
XNO,"$118,973,443.95",$0.8929,"133,248,297 XNO *","$2,322,243.77",0.55%
ONG,"$113,283,649.08",$0.3562,"318,051,858 ONG *","$4,478,905.30",0.46%
REQ,"$113,237,435.97",$0.1133,"999,830,316 REQ *","$10,547,137.47",2.12%
INJ,"$113,325,186.23",$1.60,"71,005,554 INJ *","$12,239,011.33",0.32%
NU,"$112,316,084.68",$0.1598,"703,000,000 NU *","$5,623,317.68",0.62%
CFX,"$109,802,457.83",$0.05252,"2,090,735,404 CFX","$2,741,675.29",0.78%
PEOPLE,"$109,018,528.20",$0.02154,"5,060,137,335 PEOPLE","$30,943,438.35",1.31%
ORBS,"$109,341,659.95",$0.03801,"2,876,767,039 ORBS *","$1,070,521.64",0.50%
UOS,"$108,191,420.05",$0.3561,"303,793,578 UOS *","$957,723.13",0.94%
WIN,"$106,304,319.54",$0.0001105,"961,737,300,000 WIN *","$72,444,712.55",0.58%
COTI,"$106,172,573.10",$0.09577,"1,108,643,952 COTI *","$4,814,501.25",0.80%
FX,"$105,949,654.79",$0.2593,"408,520,357 FX *","$1,843,815.60",0.40%
DYDX,"$104,170,079.39",$1.59,"65,569,295 DYDX *","$31,232,758.11",1.12%
ARDR,"$103,616,451.87",$0.1037,"998,999,495 ARDR *","$1,568,087.80",0.54%
NMR,"$102,241,552.25",$17.36,"5,888,504 NMR *","$4,410,084.03",0.48%
POWR,"$102,232,599.13",$0.2106,"485,339,140 POWR *","$2,339,206.33",0.37%
FXS,"$102,346,321.02",$6.31,"16,209,405 FXS *","$5,798,531.40",1.09%
XYO,"$101,853,617.51",$0.00793,"12,844,821,266 XYO *","$775,423.29",0.54%
CHR,"$101,387,238.24",$0.1787,"567,369,439 CHR *","$9,388,510.85",0.65%
OCEAN,"$100,683,046.74",$0.1642,"613,099,141 OCEAN *","$3,872,216.53",0.66%
SNT,"$99,822,678.84",$0.02876,"3,470,483,788 SNT *","$1,553,652.41",0.36%
SYS,"$98,576,587.31",$0.1496,"659,117,327 SYS","$4,962,726.14",2.48%
TEL,"$98,030,623.30",$0.001563,"62,728,700,558 TEL *","$794,363.33",0.31%
API3,"$97,605,335.20",$1.73,"56,547,601 API3 *","$6,707,011.41",1.09%
DENT,"$97,388,106.85",$0.0009836,"99,007,791,203 DENT *","$9,166,505.66",0.83%
PROM,"$96,960,629.16",$5.89,"16,450,000 PROM *","$3,198,113.05",0.50%
DAG,"$95,211,200.02",$0.07515,"1,266,911,931 DAG *","$436,536.95",0.67%
BNT,"$95,078,821.87",$0.4669,"203,626,640 BNT *","$3,473,915.19",0.31%
BTC,"$416,840,289,162.08","$21,769.26","19,148,118","$34,493,951,963.30",0.55
ETH,"$215,523,920,726.08","$1,761.80","122,331,659","$12,464,301,922.09",0.79
USDT,"$67,670,904,333.26",$1.00,"67,652,203,603","$47,160,062,303.98",0.02
USDC,"$51,601,695,543.86",$1,"51,604,205,337","$5,285,353,049.05",0.01
BNB,"$47,620,609,271.56",$295.16,"161,337,261","$700,835,024.76",0.57
BUSD,"$20,000,545,579.16",$0.9999,"20,003,342,405","$8,265,336,407.31",0.01
XRP,"$17,694,152,749.41",$0.3551,"49,826,021,773","$650,515,883.43",0.18
ADA,"$17,424,373,509.96",$0.5098,"34,182,044,153","$705,305,295.41",0.67
SOL,"$12,352,902,118.71",$34.97,"353,283,628","$757,216,095.72",0.13
DOT,"$8,591,192,714.54",$7.70,"1,116,007,262","$275,936,800.39",0.50
DOGE,"$8,452,981,187.22",$0.06371,"132,670,764,300","$327,741,964.01",0.33
MATIC,"$7,813,837,574.46",$0.8946,"8,734,317,475","$282,903,791.45",0.64
SHIB,"$7,139,366,303.56",$0.000013,"549,063,278,876,302","$539,982,449.72",0.51
DAI,"$6,905,721,201.05",$1.00,"6,904,361,909","$340,002,365.27",0.06
AVAX,"$6,108,060,998.97",$20.66,"295,663,081","$314,321,780.01",0.21
TRX,"$5,920,754,258.74",$0.0641,"92,370,658,148","$359,330,842.44",0.20
WBTC,"$5,408,505,484.18","$21,733.27","248,858","$125,949,466.35",0.55
ETC,"$5,266,558,381.13",$38.49,"136,818,647","$734,939,901.97",0.09
UNI,"$4,843,933,320.19",$6.49,"745,895,690","$109,263,470.26",0.33
LEO,"$4,828,057,845.41",$5.06,"953,954,130","$3,244,792.18",0.19
ATOM,"$4,490,895,716.01",$15.68,"286,370,297 ATOM *","$424,612,671.08",0.61%
LTC,"$4,428,570,473.83",$62.24,"71,148,981 LTC","$467,207,228.43",2.20%
LINK,"$3,940,359,449.31",$8.02,"491,599,970 LINK *","$462,463,233.12",0.77%
NEAR,"$3,821,653,580.37",$4.89,"780,961,157 NEAR *","$344,254,511.39",0.73%
FTT,"$3,734,694,704.03",$27.85,"134,088,740 FTT *","$74,979,697.75",0.79%
CRO,"$3,114,275,591.69",$0.1233,"25,263,013,692 CRO *","$19,875,377.21",0.68%
XLM,"$2,896,290,608.37",$0.1143,"25,328,343,622 XLM *","$90,190,324.09",0.19%
XMR,"$2,886,991,192.05",$158.86,"18,173,138 XMR","$70,199,114.03",0.38%
LUNC,"$2,579,453,692.61",$0.0004193,"6,151,072,613,161 LUNC *","$984,659,429.54",0.34%
BCH,"$2,497,152,103.12",$130.26,"19,171,075 BCH","$244,950,894.28",0.40%
ALGO,"$2,255,984,696.88",$0.3265,"6,910,014,020 ALGO *","$80,246,614.72",0.50%
FLOW,"$2,190,553,058.39",$2.11,"1,036,200,000 FLOW *","$73,172,405.36",0.78%
VET,"$1,865,299,726.57",$0.02572,"72,511,146,418 VET *","$67,016,046.68",0.80%
ICP,"$1,863,424,748.94",$7.17,"259,757,034 ICP *","$68,013,934.31",0.87%
FIL,"$1,789,917,588.87",$6.40,"279,468,401 FIL","$333,184,717.84",0.19%
APE,"$1,737,586,479.63",$5.66,"306,875,000 APE *","$507,706,089.32",0.02%
EOS,"$1,713,138,208.72",$1.71,"1,000,339,623 EOS *","$528,618,238.15",0.28%
XTZ,"$1,528,793,905.73",$1.68,"908,534,660 XTZ *","$55,233,083.53",0.54%
MANA,"$1,490,511,280.96",$0.8035,"1,855,087,992 MANA *","$119,280,229.77",0.43%
SAND,"$1,461,452,768.27",$0.9746,"1,499,470,108 SAND *","$204,085,800.83",0.55%
HBAR,"$1,350,180,060.33",$0.06404,"21,084,776,584 HBAR *","$25,680,962.88",0.88%
QNT,"$1,309,223,225.34",$108.44,"12,072,738 QNT *","$23,896,508.71",0.76%
AAVE,"$1,288,621,138.95",$91.45,"14,090,788 AAVE *","$143,099,882.82",0.46%
CHZ,"$1,248,223,241.89",$0.208,"6,000,386,953 CHZ *","$379,448,536.67",1.26%
EGLD,"$1,222,656,354.08",$52.87,"23,124,952 EGLD *","$42,335,390.40",0.21%
AXS,"$1,206,518,951.97",$14.53,"83,056,187 AXS *","$77,141,844.06",0.98%
THETA,"$1,179,646,905.60",$1.18,"1,000,000,000 THETA *","$27,200,044.47",0.72%
BSV,"$1,043,727,534.48",$54.45,"19,167,164 BSV","$70,359,841.84",0.45%
OKB,"$979,785,301.94",$16.33,"60,000,000 OKB *","$19,486,900.23",0.64%
ZEC,"$980,745,593.12",$64.34,"15,243,425 ZEC","$64,193,570.48",0.41%
KCS,"$955,693,819.28",$9.71,"98,379,861 KCS *","$2,687,516.05",0.55%
USDP,"$946,083,319.73",$1.00,"945,642,940 USDP *","$3,389,836.09",0.07%
XEC,"$872,568,979.59",$0.00004552,"19,167,973,423,303 XEC","$60,934,550.30",0.45%
BTT,"$860,468,753.55",$0.00000092,"940,054,375,000,000 BTT *","$30,103,688.56",0.18%
MIOTA,"$811,829,898.24",$0.2921,"2,779,530,283 MIOTA *","$10,296,649.57",0.60%
GRT,"$804,678,006.20",$0.1166,"6,900,000,000 GRT *","$43,664,941.90",0.63%
LUNA,"$731,245,897.79",$5.74,"127,475,474 LUNA","$1,877,660,242.60",2.36%
MKR,"$737,343,092.17",$754.21,"977,631 MKR *","$29,475,936.71",0.43%
HT,"$729,877,295.33",$4.76,"153,357,694 HT *","$12,228,411.42",0.25%
USDD,"$724,701,387.36",$0.9991,"725,332,037 USDD *","$41,546,331.59",0.00%
SNX,"$704,661,532.84",$2.96,"237,934,932 SNX *","$51,564,321.44",0.85%
FTM,"$694,056,490.40",$0.2727,"2,545,006,273 FTM *","$124,774,862.58",0.84%
NEO,"$691,729,340.78",$9.81,"70,538,831 NEO *","$33,124,538.59",0.55%
KLAY,"$690,109,009.14",$0.2287,"3,016,959,950 KLAY *","$28,735,101.14",0.15%
RUNE,"$664,447,866.10",$2.01,"330,688,061 RUNE *","$48,092,016.89",0.67%
HNT,"$656,864,209.73",$5.21,"125,967,848 HNT","$34,892,813.55",0.76%
LDO,"$652,670,214.29",$2.09,"312,951,154 LDO *","$91,852,507.05",1.13%
CAKE,"$642,537,763.63",$4.53,"141,730,188 CAKE *","$58,710,503.22",1.24%
USDN,"$643,620,490.72",$0.9426,"682,822,335 USDN *","$2,606,602.20",0.03%
CRV,"$626,518,785.12",$1.18,"529,784,231 CRV *","$110,625,512.59",0.62%
PAXG,"$558,105,213.17","$1,716.14","325,209 PAXG *","$7,557,016.60",0.09%
NEXO,"$545,731,533.53",$0.9745,"560,000,011 NEXO *","$9,389,864.52",1.08%
ENJ,"$542,955,910.06",$0.543,"1,000,000,000 ENJ *","$52,293,066.75",0.92%
RVN,"$541,580,323.66",$0.05171,"10,473,290,000 RVN","$104,136,513.61",1.38%
WAVES,"$536,334,756.50",$4.91,"109,303,144 WAVES *","$249,930,306.04",0.52%
DASH,"$526,942,027.94",$48.31,"10,907,433 DASH","$90,232,466.48",0.57%
BAT,"$524,876,908.65",$0.3515,"1,493,102,345 BAT *","$38,628,755.46",0.34%
STX,"$520,970,555.72",$0.3908,"1,333,168,210 STX","$17,499,276.38",0.63%
USTC,"$507,854,389.00",$0.05174,"9,815,511,262 USTC *","$127,270,646.06",71.77%
ZIL,"$496,556,503.32",$0.03739,"13,280,356,573 ZIL","$107,903,573.09",0.57%
LRC,"$481,376,353.78",$0.3619,"1,330,133,546 LRC *","$52,799,954.16",0.69%
GT,"$465,321,469.62",$4.30,"108,264,440 GT *","$3,711,180.25",0.12%
MINA,"$460,591,747.66",$0.6855,"671,886,650 MINA *","$14,357,145.50",0.17%
BTG,"$451,638,083.67",$25.79,"17,513,924 BTG","$13,774,743.30",0.37%
GNO,"$443,829,303.07",$172.05,"2,579,588 GNO *","$3,264,360.99",0.70%
GMT,"$441,142,680.10",$0.7352,"600,000,000 GMT *","$150,975,143.08",0.69%
KSM,"$438,914,105.14",$51.82,"8,470,098 KSM *","$34,389,534.43",0.41%
DCR,"$429,653,062.94",$29.96,"14,340,427 DCR","$2,232,329.70",0.35%
KAVA,"$432,080,808.74",$1.72,"250,874,925 KAVA *","$16,924,287.35",0.74%
TWT,"$427,540,465.91",$1.03,"416,649,900 TWT *","$4,609,774.03",0.57%
FEI,"$419,693,725.76",$0.9875,"424,996,178 FEI *","$920,762.61",0.32%
XEM,"$419,769,832.96",$0.04664,"8,999,999,999 XEM *","$17,804,225.53",0.74%
CELO,"$408,486,205.65",$0.8835,"462,324,704 CELO *","$11,014,349.15",0.72%
COMP,"$405,967,855.56",$55.91,"7,261,307 COMP *","$52,851,286.96",0.38%
CEL,"$383,118,071.87",$1.60,"238,863,520 CEL *","$24,129,805.25",2.35%
1INCH,"$379,028,598.97",$0.6492,"583,856,132 1INCH *","$34,879,486.24",0.26%
AR,"$376,821,551.97",$11.28,"33,394,701 AR *","$18,864,881.23",0.30%
CVX,"$375,733,815.08",$5.56,"67,553,697 CVX *","$6,637,717.34",0.16%
HOT,"$373,049,389.77",$0.002152,"173,342,974,127 HOT *","$21,164,532.03",0.53%
YFI,"$372,492,795.73","$10,166.92","36,638 YFI *","$45,647,861.83",0.72%
GUSD,"$369,179,607.82",$0.9989,"369,591,718 GUSD *","$480,861.36",0.18%
ANKR,"$366,455,514.99",$0.03792,"9,662,899,378 ANKR *","$37,085,137.84",0.95%
GALA,"$363,077,451.70",$0.05204,"6,977,205,436 GALA *","$131,485,600.20",0.71%
KNC,"$356,750,157.18",$2.01,"177,809,350 KNC *","$60,086,406.89",0.50%
